,"ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA N° 3 
""Ntra. Sra. de la Merced""",,,,,,,,,,,,,,,"ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA N° 3 
""Ntra. Sra. de la Merced""",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARTE GENERAL,,,,,,,,,,,,,,,PARTE GENERAL,,,,,,,,,,,,,
,ALUMNOS ,,,,,,,,,,,,,,,ALUMNOS ,,,,,,,,,,,,,
,"LOMA HERMOSA, ……de ……………………………… de 20 ......",,,,,,,,,,,,,,,"LOMA HERMOSA, ……de …………………….……… de 20 ......",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CURSOS,,ORIENTACIÓN,,,INSCRIPTOS,,,PRESENTES,,,AUSENTES,,,,CURSOS,,ORIENTACIÓN,,,INSCRIPTOS,,,PRESENTES,,,AUSENTES,,
,,,,,,V,M,T,V,M,T,V,M,T,,,,,,,V,M,T,V,M,T,V,M,T
,5º4º,,TECET,,,8,-,8,,,,,,,,5º4º,,TECET,,,8,-,8,,,,,,
,6º1º,,TECQU,,,11,4,15,,,,,,,,6º1º,,TECQU,,,11,4,15,,,,,,
,6º2º,,TECMM,,,9,14,23,,,,,,,,6º2º,,TECMM,,,9,14,23,,,,,,
,6º3º,,TECET,,,23,2,25,,,,,,,,6º3º,,TECET,,,23,2,25,,,,,,
,6º4º,,TECET,,,6,-,6,,,,,,,,6º4º,,TECET,,,6,-,6,,,,,,
,7º1º,,TECQU,,,5,8,13,,,,,,,,7º1º,,TECQU,,,5,8,13,,,,,,
,7º2º,,TECMM,,,9,9,18,,,,,,,,7º2º,,TECMM,,,9,9,18,,,,,,
,7º3º,,TECET,,,20,9,29,,,,,,,,7º3º,,TECET,,,20,9,29,,,,,,
,7º4º,,TECET,,,8,-,8,,,,,,,,7º4º,,TECET,,,8,-,8,,,,,,
,1° 1°,,C.TEC.MMO,,,20,7,27,,,,,,,,1° 1°,,C.TEC.MMO,,,20,7,27,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,,,,119,53,172,,,,,,,,TOTAL,,,,,119,53,172,,,,,,
,OBSERVACIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AUSENTE DE DOCENTES Y AUXILIARES:,,,,,,,,,,,,,,,AUSENTE DE DOCENTES Y AUXILIARES:,,,,,,,,,,,,,
